Experiment,Group,Subject,TrialType,Kind,Object,Rating
2,CB,CB3,Function,Artifact,bed,7
2,CB,CB3,Function,Artifact,pencil,7
2,CB,CB3,Function,Artifact,bathtub,6
2,CB,CB3,Filler,Natural,dog,1
2,CB,CB3,Filler,Natural,pumpkin,2
2,CB,CB3,Filler,Natural,cucumber,5
2,CB,CB3,Filler,Natural,tree branch,2
2,CB,CB3,Filler,Natural,pebble,4
2,CB,CB3,Filler,Natural,seashell,5
2,CB,CB3,Filler,Natural,orange,5
2,CB,CB3,Filler,Natural,sand,6
2,CB,CB3,Filler,Natural,watermelon,4
2,CB,CB3,Filler,Natural,mouse,7
2,CB,CB3,Filler,Natural,acorn,5
2,CB,CB3,Filler,Natural,snake,6
2,CB,CB3,Filler,Natural,pineapple,5
2,CB,CB3,Filler,Artifact,chair,5
2,CB,CB3,Filler,Artifact,coffee table,4
2,CB,CB3,Filler,Artifact,knife,3
2,CB,CB3,Filler,Artifact,rug,3
2,CB,CB3,Filler,Artifact,coat,5
2,CB,CB3,Filler,Artifact,bowl,4
2,CB,CB3,Filler,Artifact,door,6
2,CB,CB4,Color,Natural,strawberry,6
2,CB,CB4,Color,Natural,banana,4
2,CB,CB4,Color,Natural,broccoli,6
2,CB,CB4,Color,Natural,lemon,6
2,CB,CB4,Color,Natural,coal,7
2,CB,CB4,Color,Natural,snow,7
2,CB,CB4,Color,Natural,flamingo,5
2,CB,CB4,Color,Natural,elephant,3
2,CB,CB4,Color,Natural,ruby,7
2,CB,CB4,Color,Natural,pearl,6
2,CB,CB4,Color,ArtifactFC,go traffic,7
2,CB,CB4,Color,ArtifactFC,fire truck,7
2,CB,CB4,Color,ArtifactFC,basketball,6
2,CB,CB4,Color,ArtifactFC,taxi cab,6
2,CB,CB4,Color,ArtifactFC,police uniform,7
2,CB,CB4,Color,ArtifactFC,dollar bill,7
2,CB,CB4,Color,ArtifactFC,tennis ball,4
2,CB,CB4,Color,ArtifactFC,chalkboard,7
2,CB,CB4,Color,ArtifactNFC,toilet,3
2,CB,CB4,Color,ArtifactFC,street sign,3
2,CB,CB4,Color,ArtifactNFC,pants,3
2,CB,CB4,Color,ArtifactNFC,mug,2
2,CB,CB4,Color,ArtifactNFC,book,5
2,CB,CB4,Color,ArtifactNFC,purse,2
2,CB,CB4,Color,ArtifactFC,crayon,2
2,CB,CB4,Color,ArtifactNFC,lunch box,3
2,CB,CB4,Color,ArtifactNFC,suitcase,4
2,CB,CB4,Color,ArtifactNFC,couch,3
2,CB,CB4,Color,ArtifactNFC,shoes,2
2,CB,CB4,Color,ArtifactNFC,vacuum,4
2,CB,CB4,Function,Natural,wood,2
2,CB,CB4,Function,Natural,rock,3
2,CB,CB4,Function,Natural,mud,4
2,CB,CB4,Function,Natural,gold,5
2,CB,CB4,Function,Natural,grass,4
2,CB,CB4,Function,Natural,leaf,4
2,CB,CB4,Function,Natural,tree bark,2
2,CB,CB4,Function,Natural,water,4
2,CB,CB4,Function,Natural,dirt,6
2,CB,CB4,Function,Natural,flower,3
2,CB,CB4,Function,Artifact,hole puncher,7
2,CB,CB4,Function,Artifact,stapler,7
2,CB,CB4,Function,Artifact,hammer,6
2,CB,CB4,Function,Artifact,drill,5
2,CB,CB4,Function,Artifact,iron,7
2,CB,CB4,Function,Artifact,toaster,7
2,CB,CB4,Function,Artifact,coffee maker,6
2,CB,CB4,Function,Artifact,bed,5
2,CB,CB4,Function,Artifact,pencil,6
2,CB,CB4,Function,Artifact,bathtub,7
2,CB,CB4,Filler,Natural,dog,2
2,CB,CB4,Filler,Natural,pumpkin,2
2,CB,CB4,Filler,Natural,cucumber,5
