Object,Experiment,Kind,subjID,Rating
pen,3,ArtifactNFC,s6,1
soap,3,ArtifactNFC,s6,1
table,3,ArtifactNFC,s6,1
towel,3,ArtifactNFC,s6,1
go traffic,2,AritfactFC,s7,3
basketball,2,AritfactFC,s7,4
chalkboard,2,AritfactFC,s7,5
dollar bill,2,AritfactFC,s7,3
fire truck,2,AritfactFC,s7,6
lab coat,2,AritfactFC,s7,5
police uniform,2,AritfactFC,s7,6
street sign,2,AritfactFC,s7,5
taxi cab,2,AritfactFC,s7,4
tennis ball,2,AritfactFC,s7,4
toilet,2,AritfactFC,s7,5
book,2,ArtifactNFC,s7,5
couch,2,ArtifactNFC,s7,5
crayon,2,ArtifactNFC,s7,4
lunch box,2,ArtifactNFC,s7,3
mug,2,ArtifactNFC,s7,5
pants,2,ArtifactNFC,s7,4
shoes,2,ArtifactNFC,s7,5
purse,2,ArtifactNFC,s7,6
suitcase,2,ArtifactNFC,s7,6
vacuum,2,ArtifactNFC,s7,4
coin,3,AritfactFC,s7,3
military uniform,3,AritfactFC,s7,4
paper,3,AritfactFC,s7,5
recycling bin,3,AritfactFC,s7,5
school bus,3,AritfactFC,s7,5
stop sign,3,AritfactFC,s7,3
wedding dress,3,AritfactFC,s7,6
car,3,ArtifactNFC,s7,5
cup,3,ArtifactNFC,s7,5
fork,3,ArtifactNFC,s7,3
laptop,3,ArtifactNFC,s7,6
pen,3,ArtifactNFC,s7,3
soap,3,ArtifactNFC,s7,3
table,3,ArtifactNFC,s7,5
towel,3,ArtifactNFC,s7,5
go traffic,2,AritfactFC,s8,7
basketball,2,AritfactFC,s8,5
chalkboard,2,AritfactFC,s8,1
dollar bill,2,AritfactFC,s8,2
fire truck,2,AritfactFC,s8,7
lab coat,2,AritfactFC,s8,5
police uniform,2,AritfactFC,s8,2
street sign,2,AritfactFC,s8,7
taxi cab,2,AritfactFC,s8,1
tennis ball,2,AritfactFC,s8,5
toilet,2,AritfactFC,s8,1
book,2,ArtifactNFC,s8,1
couch,2,ArtifactNFC,s8,2
crayon,2,ArtifactNFC,s8,7
lunch box,2,ArtifactNFC,s8,1
mug,2,ArtifactNFC,s8,1
pants,2,ArtifactNFC,s8,5
shoes,2,ArtifactNFC,s8,2
purse,2,ArtifactNFC,s8,6
suitcase,2,ArtifactNFC,s8,2
vacuum,2,ArtifactNFC,s8,1
coin,3,AritfactFC,s8,1
military uniform,3,AritfactFC,s8,6
paper,3,AritfactFC,s8,6
recycling bin,3,AritfactFC,s8,6
school bus,3,AritfactFC,s8,7
stop sign,3,AritfactFC,s8,7
wedding dress,3,AritfactFC,s8,4
car,3,ArtifactNFC,s8,2
cup,3,ArtifactNFC,s8,1
fork,3,ArtifactNFC,s8,1
laptop,3,ArtifactNFC,s8,3
pen,3,ArtifactNFC,s8,6
soap,3,ArtifactNFC,s8,2
table,3,ArtifactNFC,s8,1
towel,3,ArtifactNFC,s8,3
go traffic,2,AritfactFC,s9,6
basketball,2,AritfactFC,s9,5
chalkboard,2,AritfactFC,s9,5
dollar bill,2,AritfactFC,s9,5
fire truck,2,AritfactFC,s9,4
lab coat,2,AritfactFC,s9,6
police uniform,2,AritfactFC,s9,5
street sign,2,AritfactFC,s9,6
taxi cab,2,AritfactFC,s9,5
tennis ball,2,AritfactFC,s9,6
toilet,2,AritfactFC,s9,6
book,2,ArtifactNFC,s9,7
couch,2,ArtifactNFC,s9,4
crayon,2,ArtifactNFC,s9,4
lunch box,2,ArtifactNFC,s9,6
mug,2,ArtifactNFC,s9,6
pants,2,ArtifactNFC,s9,4
shoes,2,ArtifactNFC,s9,5
purse,2,ArtifactNFC,s9,5
suitcase,2,ArtifactNFC,s9,6
vacuum,2,ArtifactNFC,s9,5
coin,3,AritfactFC,s9,6
military uniform,3,AritfactFC,s9,4
paper,3,AritfactFC,s9,6
recycling bin,3,AritfactFC,s9,5
school bus,3,AritfactFC,s9,7
stop sign,3,AritfactFC,s9,4
wedding dress,3,AritfactFC,s9,4
car,3,ArtifactNFC,s9,4
cup,3,ArtifactNFC,s9,5
fork,3,ArtifactNFC,s9,5
laptop,3,ArtifactNFC,s9,5
pen,3,ArtifactNFC,s9,4
soap,3,ArtifactNFC,s9,7
table,3,ArtifactNFC,s9,5
towel,3,ArtifactNFC,s9,6
go traffic,2,AritfactFC,s10,7
basketball,2,AritfactFC,s10,2
chalkboard,2,AritfactFC,s10,1
dollar bill,2,AritfactFC,s10,4
fire truck,2,AritfactFC,s10,6
lab coat,2,AritfactFC,s10,3
police uniform,2,AritfactFC,s10,5
street sign,2,AritfactFC,s10,5
taxi cab,2,AritfactFC,s10,1
tennis ball,2,AritfactFC,s10,2
toilet,2,AritfactFC,s10,1
book,2,ArtifactNFC,s10,1
couch,2,ArtifactNFC,s10,1
crayon,2,ArtifactNFC,s10,7
lunch box,2,ArtifactNFC,s10,1
mug,2,ArtifactNFC,s10,1
pants,2,ArtifactNFC,s10,1
shoes,2,ArtifactNFC,s10,1
purse,2,ArtifactNFC,s10,1
suitcase,2,ArtifactNFC,s10,1
vacuum,2,ArtifactNFC,s10,1
coin,3,AritfactFC,s10,5
military uniform,3,AritfactFC,s10,5
paper,3,AritfactFC,s10,5
recycling bin,3,AritfactFC,s10,3
school bus,3,AritfactFC,s10,1
stop sign,3,AritfactFC,s10,6
wedding dress,3,AritfactFC,s10,2
car,3,ArtifactNFC,s10,1
cup,3,ArtifactNFC,s10,1
fork,3,ArtifactNFC,s10,1
laptop,3,ArtifactNFC,s10,1
pen,3,ArtifactNFC,s10,7
soap,3,ArtifactNFC,s10,1
table,3,ArtifactNFC,s10,1
towel,3,ArtifactNFC,s10,1
go traffic,2,AritfactFC,s11,1
basketball,2,AritfactFC,s11,1
chalkboard,2,AritfactFC,s11,1
dollar bill,2,AritfactFC,s11,6
fire truck,2,AritfactFC,s11,1
lab coat,2,AritfactFC,s11,2
police uniform,2,AritfactFC,s11,1
street sign,2,AritfactFC,s11,1
taxi cab,2,AritfactFC,s11,6
tennis ball,2,AritfactFC,s11,2
toilet,2,AritfactFC,s11,7
book,2,ArtifactNFC,s11,1
couch,2,ArtifactNFC,s11,1
crayon,2,ArtifactNFC,s11,7
lunch box,2,ArtifactNFC,s11,1
mug,2,ArtifactNFC,s11,6
pants,2,ArtifactNFC,s11,7
shoes,2,ArtifactNFC,s11,4
purse,2,ArtifactNFC,s11,1
suitcase,2,ArtifactNFC,s11,4
vacuum,2,ArtifactNFC,s11,1
coin,3,AritfactFC,s11,1
military uniform,3,AritfactFC,s11,1
paper,3,AritfactFC,s11,1
recycling bin,3,AritfactFC,s11,1
school bus,3,AritfactFC,s11,6
stop sign,3,AritfactFC,s11,7
wedding dress,3,AritfactFC,s11,7
car,3,ArtifactNFC,s11,1
cup,3,ArtifactNFC,s11,7
fork,3,ArtifactNFC,s11,7
laptop,3,ArtifactNFC,s11,6
pen,3,ArtifactNFC,s11,7
soap,3,ArtifactNFC,s11,1
table,3,ArtifactNFC,s11,1
towel,3,ArtifactNFC,s11,5
go traffic,2,AritfactFC,s12,7
basketball,2,AritfactFC,s12,4
chalkboard,2,AritfactFC,s12,7
dollar bill,2,AritfactFC,s12,1
fire truck,2,AritfactFC,s12,4
lab coat,2,AritfactFC,s12,1
police uniform,2,AritfactFC,s12,1
street sign,2,AritfactFC,s12,4
taxi cab,2,AritfactFC,s12,4
tennis ball,2,AritfactFC,s12,4
toilet,2,AritfactFC,s12,1
book,2,ArtifactNFC,s12,1
couch,2,ArtifactNFC,s12,1
crayon,2,ArtifactNFC,s12,1
lunch box,2,ArtifactNFC,s12,1
mug,2,ArtifactNFC,s12,1
pants,2,ArtifactNFC,s12,1
shoes,2,ArtifactNFC,s12,1
purse,2,ArtifactNFC,s12,1
suitcase,2,ArtifactNFC,s12,1
vacuum,2,ArtifactNFC,s12,1
coin,3,AritfactFC,s12,1
military uniform,3,AritfactFC,s12,1
paper,3,AritfactFC,s12,1
recycling bin,3,AritfactFC,s12,4
school bus,3,AritfactFC,s12,2
stop sign,3,AritfactFC,s12,7
wedding dress,3,AritfactFC,s12,5
car,3,ArtifactNFC,s12,1
cup,3,ArtifactNFC,s12,1
fork,3,ArtifactNFC,s12,1
laptop,3,ArtifactNFC,s12,1
pen,3,ArtifactNFC,s12,2
soap,3,ArtifactNFC,s12,1
table,3,ArtifactNFC,s12,1
towel,3,ArtifactNFC,s12,1
go traffic,2,AritfactFC,s13,7
basketball,2,AritfactFC,s13,7
chalkboard,2,AritfactFC,s13,6
dollar bill,2,AritfactFC,s13,7
fire truck,2,AritfactFC,s13,5
lab coat,2,AritfactFC,s13,5
police uniform,2,AritfactFC,s13,7
street sign,2,AritfactFC,s13,4
taxi cab,2,AritfactFC,s13,5
tennis ball,2,AritfactFC,s13,7
toilet,2,AritfactFC,s13,4
book,2,ArtifactNFC,s13,6
couch,2,ArtifactNFC,s13,6
crayon,2,ArtifactNFC,s13,6
lunch box,2,ArtifactNFC,s13,3
mug,2,ArtifactNFC,s13,3
pants,2,ArtifactNFC,s13,5
shoes,2,ArtifactNFC,s13,5
purse,2,ArtifactNFC,s13,5
suitcase,2,ArtifactNFC,s13,5
vacuum,2,ArtifactNFC,s13,5
coin,3,AritfactFC,s13,6
military uniform,3,AritfactFC,s13,7
paper,3,AritfactFC,s13,5
recycling bin,3,AritfactFC,s13,6
school bus,3,AritfactFC,s13,7
stop sign,3,AritfactFC,s13,3
wedding dress,3,AritfactFC,s13,6
car,3,ArtifactNFC,s13,4
cup,3,ArtifactNFC,s13,5
fork,3,ArtifactNFC,s13,5
laptop,3,ArtifactNFC,s13,5
pen,3,ArtifactNFC,s13,5
soap,3,ArtifactNFC,s13,3
table,3,ArtifactNFC,s13,5
towel,3,ArtifactNFC,s13,4
go traffic,2,AritfactFC,s14,7
basketball,2,AritfactFC,s14,1
chalkboard,2,AritfactFC,s14,1
dollar bill,2,AritfactFC,s14,7
fire truck,2,AritfactFC,s14,6
lab coat,2,AritfactFC,s14,1
police uniform,2,AritfactFC,s14,6
street sign,2,AritfactFC,s14,6
taxi cab,2,AritfactFC,s14,4
tennis ball,2,AritfactFC,s14,1
toilet,2,AritfactFC,s14,1
book,2,ArtifactNFC,s14,1
couch,2,ArtifactNFC,s14,1
crayon,2,ArtifactNFC,s14,7
lunch box,2,ArtifactNFC,s14,1
mug,2,ArtifactNFC,s14,1
pants,2,ArtifactNFC,s14,1
shoes,2,ArtifactNFC,s14,1
purse,2,ArtifactNFC,s14,1
suitcase,2,ArtifactNFC,s14,1
vacuum,2,ArtifactNFC,s14,1
coin,3,AritfactFC,s14,3
military uniform,3,AritfactFC,s14,5
paper,3,AritfactFC,s14,1
recycling bin,3,AritfactFC,s14,6
school bus,3,AritfactFC,s14,4
stop sign,3,AritfactFC,s14,7
wedding dress,3,AritfactFC,s14,6
car,3,ArtifactNFC,s14,1
cup,3,ArtifactNFC,s14,1
fork,3,ArtifactNFC,s14,1
laptop,3,ArtifactNFC,s14,1
pen,3,ArtifactNFC,s14,1
soap,3,ArtifactNFC,s14,1
table,3,ArtifactNFC,s14,1
towel,3,ArtifactNFC,s14,1
go traffic,2,AritfactFC,s15,7
basketball,2,AritfactFC,s15,7
chalkboard,2,AritfactFC,s15,6
dollar bill,2,AritfactFC,s15,7
fire truck,2,AritfactFC,s15,6
lab coat,2,AritfactFC,s15,5
police uniform,2,AritfactFC,s15,6
street sign,2,AritfactFC,s15,7
taxi cab,2,AritfactFC,s15,7
tennis ball,2,AritfactFC,s15,5
toilet,2,AritfactFC,s15,1
book,2,ArtifactNFC,s15,1
couch,2,ArtifactNFC,s15,1
crayon,2,ArtifactNFC,s15,4
lunch box,2,ArtifactNFC,s15,1
mug,2,ArtifactNFC,s15,1
pants,2,ArtifactNFC,s15,1
shoes,2,ArtifactNFC,s15,3
purse,2,ArtifactNFC,s15,1
suitcase,2,ArtifactNFC,s15,1
vacuum,2,ArtifactNFC,s15,1
coin,3,AritfactFC,s15,5
military uniform,3,AritfactFC,s15,6
paper,3,AritfactFC,s15,1
recycling bin,3,AritfactFC,s15,6
school bus,3,AritfactFC,s15,7
stop sign,3,AritfactFC,s15,7
wedding dress,3,AritfactFC,s15,6
car,3,ArtifactNFC,s15,1
cup,3,ArtifactNFC,s15,1
fork,3,ArtifactNFC,s15,1
laptop,3,ArtifactNFC,s15,1
pen,3,ArtifactNFC,s15,4
soap,3,ArtifactNFC,s15,1
table,3,ArtifactNFC,s15,1
towel,3,ArtifactNFC,s15,1
go traffic,2,AritfactFC,s16,7
basketball,2,AritfactFC,s16,5
chalkboard,2,AritfactFC,s16,4
dollar bill,2,AritfactFC,s16,6
fire truck,2,AritfactFC,s16,7
lab coat,2,AritfactFC,s16,6
police uniform,2,AritfactFC,s16,6
street sign,2,AritfactFC,s16,6
taxi cab,2,AritfactFC,s16,6
tennis ball,2,AritfactFC,s16,5
toilet,2,AritfactFC,s16,6
book,2,ArtifactNFC,s16,2
couch,2,ArtifactNFC,s16,4
crayon,2,ArtifactNFC,s16,6
lunch box,2,ArtifactNFC,s16,2
mug,2,ArtifactNFC,s16,1
pants,2,ArtifactNFC,s16,2
shoes,2,ArtifactNFC,s16,2
purse,2,ArtifactNFC,s16,1
suitcase,2,ArtifactNFC,s16,2
vacuum,2,ArtifactNFC,s16,2
coin,3,AritfactFC,s16,6
military uniform,3,AritfactFC,s16,5
paper,3,AritfactFC,s16,1
recycling bin,3,AritfactFC,s16,5
school bus,3,AritfactFC,s16,5
stop sign,3,AritfactFC,s16,7
wedding dress,3,AritfactFC,s16,7
car,3,ArtifactNFC,s16,3
cup,3,ArtifactNFC,s16,1
fork,3,ArtifactNFC,s16,1
laptop,3,ArtifactNFC,s16,2
pen,3,ArtifactNFC,s16,2
soap,3,ArtifactNFC,s16,2
table,3,ArtifactNFC,s16,4
towel,3,ArtifactNFC,s16,1
go traffic,2,AritfactFC,s17,7
basketball,2,AritfactFC,s17,6
chalkboard,2,AritfactFC,s17,6
dollar bill,2,AritfactFC,s17,5
fire truck,2,AritfactFC,s17,7
lab coat,2,AritfactFC,s17,3
police uniform,2,AritfactFC,s17,3
street sign,2,AritfactFC,s17,7
taxi cab,2,AritfactFC,s17,4
tennis ball,2,AritfactFC,s17,2
toilet,2,AritfactFC,s17,1
book,2,ArtifactNFC,s17,1
couch,2,ArtifactNFC,s17,1
crayon,2,ArtifactNFC,s17,1
lunch box,2,ArtifactNFC,s17,1
mug,2,ArtifactNFC,s17,1
pants,2,ArtifactNFC,s17,2
shoes,2,ArtifactNFC,s17,1
purse,2,ArtifactNFC,s17,1
suitcase,2,ArtifactNFC,s17,1
vacuum,2,ArtifactNFC,s17,1
coin,3,AritfactFC,s17,7
military uniform,3,AritfactFC,s17,6
paper,3,AritfactFC,s17,7
recycling bin,3,AritfactFC,s17,5
school bus,3,AritfactFC,s17,6
stop sign,3,AritfactFC,s17,7
wedding dress,3,AritfactFC,s17,6
car,3,ArtifactNFC,s17,1
cup,3,ArtifactNFC,s17,1
