Experiment,TrialNum,TrialType,Kind,Object,Group,subjID,color1,color2,color3
3,52,Color,ArtifactNFC,soap,CB,NFB_CB_23,white,,
3,53,Color,ArtifactNFC,table,CB,NFB_CB_23,black,,
3,54,Color,ArtifactNFC,towel,CB,NFB_CB_23,white,,
2,1,Color,Natural,strawberry,CB,NFB_CB_09,red,,
2,2,Color,Natural,banana,CB,NFB_CB_09,yellow,,
2,3,Color,Natural,broccoli,CB,NFB_CB_09,green,,
2,4,Color,Natural,lemon,CB,NFB_CB_09,green,,
2,5,Color,Natural,coal,CB,NFB_CB_09,grey,,
2,6,Color,Natural,snow,CB,NFB_CB_09,white,,
2,7,Color,Natural,flamingo,CB,NFB_CB_09,green,,
2,8,Color,Natural,elephant,CB,NFB_CB_09,yellow,,
2,9,Color,Natural,ruby,CB,NFB_CB_09,red,,
2,10,Color,Natural,pearl,CB,NFB_CB_09,red,,
2,11,Color,ArtifactFC,go traffic,CB,NFB_CB_09,green,,
2,12,Color,ArtifactFC,fire truck,CB,NFB_CB_09,red,,
2,13,Color,ArtifactFC,basketball,CB,NFB_CB_09,blue,,
2,14,Color,ArtifactFC,taxi cab,CB,NFB_CB_09,yellow,,
2,15,Color,ArtifactFC,police uniform,CB,NFB_CB_09,red,,
2,16,Color,ArtifactFC,dollar bill,CB,NFB_CB_09,green,,
2,17,Color,ArtifactFC,tennis ball,CB,NFB_CB_09,green,,
2,18,Color,ArtifactFC,chalkboard,CB,NFB_CB_09,black,,
2,19,Color,ArtifactNFC,toilet,CB,NFB_CB_09,blue,,
2,20,Color,ArtifactFC,street sign,CB,NFB_CB_09,red,,
2,21,Color,ArtifactNFC,pants,CB,NFB_CB_09,blue,,
2,22,Color,ArtifactNFC,mug,CB,NFB_CB_09,green,,
2,23,Color,ArtifactNFC,book,CB,NFB_CB_09,red,,
2,24,Color,ArtifactNFC,purse,CB,NFB_CB_09,blue,,
2,25,Color,ArtifactFC,crayon,CB,NFB_CB_09,red,,
2,26,Color,ArtifactNFC,lunch box,CB,NFB_CB_09,green,,
2,27,Color,ArtifactNFC,suitcase,CB,NFB_CB_09,blue,,
2,28,Color,ArtifactNFC,couch,CB,NFB_CB_09,blue,,
2,29,Color,ArtifactNFC,shoes,CB,NFB_CB_09,black,,
2,30,Color,ArtifactNFC,vacuum,CB,NFB_CB_09,black,,
