Object,Experiment,Kind,subjID,Rating
Kanpa,2,ArtifactNFC,s20,1
Flut,2,ArtifactNFC,s20,4
Meepa,2,ArtifactNFC,s20,5
Cano,2,ArtifactNFC,s20,7
Maxus,2,ArtifactNFC,s20,5
Bewt,2,ArtifactFC,s20,4
Arn,2,ArtifactFC,s20,7
Toppee,2,ArtifactFC,s20,7
Bollop,2,ArtifactFC,s20,7
Reeka,2,ArtifactFC,s20,7
Kanpa,2,ArtifactNFC,s21,2
Flut,2,ArtifactNFC,s21,1
Meepa,2,ArtifactNFC,s21,1
Cano,2,ArtifactNFC,s21,4
Maxus,2,ArtifactNFC,s21,1
Bewt,2,ArtifactFC,s21,3
Arn,2,ArtifactFC,s21,3
Toppee,2,ArtifactFC,s21,4
Bollop,2,ArtifactFC,s21,6
Reeka,2,ArtifactFC,s21,2
Kanpa,2,ArtifactNFC,s22,6
Flut,2,ArtifactNFC,s22,3
Meepa,2,ArtifactNFC,s22,2
Cano,2,ArtifactNFC,s22,5
Maxus,2,ArtifactNFC,s22,3
Bewt,2,ArtifactFC,s22,4
Arn,2,ArtifactFC,s22,4
Toppee,2,ArtifactFC,s22,2
Bollop,2,ArtifactFC,s22,3
Reeka,2,ArtifactFC,s22,4
Kanpa,2,ArtifactNFC,s23,5
Flut,2,ArtifactNFC,s23,4
Meepa,2,ArtifactNFC,s23,2
Cano,2,ArtifactNFC,s23,6
Maxus,2,ArtifactNFC,s23,4
Bewt,2,ArtifactFC,s23,5
Arn,2,ArtifactFC,s23,3
Toppee,2,ArtifactFC,s23,7
Bollop,2,ArtifactFC,s23,3
Reeka,2,ArtifactFC,s23,6
Kanpa,2,ArtifactNFC,s24,3
Flut,2,ArtifactNFC,s24,2
Meepa,2,ArtifactNFC,s24,7
Cano,2,ArtifactNFC,s24,1
Maxus,2,ArtifactNFC,s24,2
Bewt,2,ArtifactFC,s24,1
Arn,2,ArtifactFC,s24,6
Toppee,2,ArtifactFC,s24,7
Bollop,2,ArtifactFC,s24,7
Reeka,2,ArtifactFC,s24,7
Kanpa,2,ArtifactNFC,s25,5
Flut,2,ArtifactNFC,s25,4
Meepa,2,ArtifactNFC,s25,2
Cano,2,ArtifactNFC,s25,2
Maxus,2,ArtifactNFC,s25,2
Bewt,2,ArtifactFC,s25,6
Arn,2,ArtifactFC,s25,5
Toppee,2,ArtifactFC,s25,4
Bollop,2,ArtifactFC,s25,6
Reeka,2,ArtifactFC,s25,6
