Group,Subject,TrialType,Kind,KindNew,Object,Rating
CB,CB7,Color,Natural,Natural,Atto,6
CB,CB7,Color,Natural,Natural,Onz,6
CB,CB7,Color,Natural,Natural,Stime,5
CB,CB7,Color,Natural,Natural,Enly,7
CB,CB7,Color,Natural,Natural,Blairo,5
CB,CB7,Color,ArtifactFC,ArtifactFC,Bewt,7
CB,CB7,Color,ArtifactFC,ArtifactNFC,Arn,7
CB,CB7,Color,ArtifactFC,ArtifactFC,Topee,7
CB,CB7,Color,ArtifactFC,ArtifactFC,Bollop,7
CB,CB7,Color,ArtifactFC,ArtifactFC,Reeka,7
CB,CB7,Color,ArtifactNFC,ArtifactNFC,Kanpa,5
CB,CB7,Color,ArtifactNFC,ArtifactNFC,Flut,5
CB,CB7,Color,ArtifactNFC,ArtifactNFC,Meepa,5
CB,CB7,Color,ArtifactNFC,ArtifactFC,Cano,6
CB,CB7,Color,ArtifactNFC,ArtifactNFC,Maxus,7
CB,CB7,Function,Natural,Natural,Koshi,3
CB,CB7,Function,Natural,Natural,Poom,4
CB,CB7,Function,Natural,Natural,Borg,3
CB,CB7,Function,Natural,Natural,Norpee,4
CB,CB7,Function,Natural,Natural,Irve,3
CB,CB7,Function,Artifact,Artifact,Xenop,7
CB,CB7,Function,Artifact,Artifact,Trint,7
CB,CB7,Function,Artifact,Artifact,Soof,4
CB,CB7,Function,Artifact,Artifact,Quag,6
CB,CB7,Function,Artifact,Artifact,Olan,7
CB,CB7,Filler,Artifact,Artifact,Gep,7
CB,CB7,Filler,Artifact,Artifact,Desh,5
CB,CB7,Filler,Artifact,Artifact,Nox,3
CB,CB7,Filler,Natural,Natural,Yobal,7
CB,CB7,Filler,Natural,Natural,Walla,7
CB,CB7,Filler,Natural,Natural,Chom,7
CB,CB7,Filler,Natural,Natural,Hyto,3
CB,CB7,Filler,Natural,Natural,Drapa,3
CB,CB7,Filler,Natural,Natural,Uzoo,4
CB,CB7,Filler,Natural,Natural,Jox,5
CB,CB8,Color,Natural,Natural,Atto,6
CB,CB8,Color,Natural,Natural,Onz,5
CB,CB8,Color,Natural,Natural,Stime,4
CB,CB8,Color,Natural,Natural,Enly,5
CB,CB8,Color,Natural,Natural,Blairo,4
CB,CB8,Color,ArtifactFC,ArtifactFC,Bewt,7
CB,CB8,Color,ArtifactFC,ArtifactNFC,Arn,6
CB,CB8,Color,ArtifactFC,ArtifactFC,Topee,2
CB,CB8,Color,ArtifactFC,ArtifactFC,Bollop,4
CB,CB8,Color,ArtifactFC,ArtifactFC,Reeka,6
CB,CB8,Color,ArtifactNFC,ArtifactNFC,Kanpa,5
CB,CB8,Color,ArtifactNFC,ArtifactNFC,Flut,3
CB,CB8,Color,ArtifactNFC,ArtifactNFC,Meepa,6
CB,CB8,Color,ArtifactNFC,ArtifactFC,Cano,5
CB,CB8,Color,ArtifactNFC,ArtifactNFC,Maxus,1
CB,CB8,Function,Natural,Natural,Koshi,5
CB,CB8,Function,Natural,Natural,Poom,2
CB,CB8,Function,Natural,Natural,Borg,3
CB,CB8,Function,Natural,Natural,Norpee,3
CB,CB8,Function,Natural,Natural,Irve,3
CB,CB8,Function,Artifact,Artifact,Xenop,4
CB,CB8,Function,Artifact,Artifact,Trint,5
CB,CB8,Function,Artifact,Artifact,Soof,1
CB,CB8,Function,Artifact,Artifact,Quag,6
CB,CB8,Function,Artifact,Artifact,Olan,4
CB,CB8,Filler,Artifact,Artifact,Gep,5
CB,CB8,Filler,Artifact,Artifact,Desh,1
CB,CB8,Filler,Artifact,Artifact,Nox,3
CB,CB8,Filler,Natural,Natural,Yobal,5
CB,CB8,Filler,Natural,Natural,Walla,7
CB,CB8,Filler,Natural,Natural,Chom,4
CB,CB8,Filler,Natural,Natural,Hyto,4
CB,CB8,Filler,Natural,Natural,Drapa,5
CB,CB8,Filler,Natural,Natural,Uzoo,5
CB,CB8,Filler,Natural,Natural,Jox,3
CB,CB9,Color,Natural,Natural,Atto,7
CB,CB9,Color,Natural,Natural,Onz,5
CB,CB9,Color,Natural,Natural,Stime,7
CB,CB9,Color,Natural,Natural,Enly,1
CB,CB9,Color,Natural,Natural,Blairo,1
CB,CB9,Color,ArtifactFC,ArtifactFC,Bewt,7
CB,CB9,Color,ArtifactFC,ArtifactNFC,Arn,7
CB,CB9,Color,ArtifactFC,ArtifactFC,Topee,7
CB,CB9,Color,ArtifactFC,ArtifactFC,Bollop,1
CB,CB9,Color,ArtifactFC,ArtifactFC,Reeka,7
CB,CB9,Color,ArtifactNFC,ArtifactNFC,Kanpa,1
CB,CB9,Color,ArtifactNFC,ArtifactNFC,Flut,2
CB,CB9,Color,ArtifactNFC,ArtifactNFC,Meepa,1
CB,CB9,Color,ArtifactNFC,ArtifactFC,Cano,1
CB,CB9,Color,ArtifactNFC,ArtifactNFC,Maxus,1
CB,CB9,Function,Natural,Natural,Koshi,1
CB,CB9,Function,Natural,Natural,Poom,1
CB,CB9,Function,Natural,Natural,Borg,1
CB,CB9,Function,Natural,Natural,Norpee,7
CB,CB9,Function,Natural,Natural,Irve,1
CB,CB9,Function,Artifact,Artifact,Xenop,1
CB,CB9,Function,Artifact,Artifact,Trint,7
CB,CB9,Function,Artifact,Artifact,Soof,7
CB,CB9,Function,Artifact,Artifact,Quag,7
CB,CB9,Function,Artifact,Artifact,Olan,7
CB,CB9,Filler,Artifact,Artifact,Gep,1
CB,CB9,Filler,Artifact,Artifact,Desh,7
CB,CB9,Filler,Artifact,Artifact,Nox,1
CB,CB9,Filler,Natural,Natural,Yobal,7
CB,CB9,Filler,Natural,Natural,Walla,7
CB,CB9,Filler,Natural,Natural,Chom,1
CB,CB9,Filler,Natural,Natural,Hyto,1
CB,CB9,Filler,Natural,Natural,Drapa,1
CB,CB9,Filler,Natural,Natural,Uzoo,3
CB,CB9,Filler,Natural,Natural,Jox,1
CB,CB10,Color,Natural,Natural,Atto,6
CB,CB10,Color,Natural,Natural,Onz,7
CB,CB10,Color,Natural,Natural,Stime,7
CB,CB10,Color,Natural,Natural,Enly,5
CB,CB10,Color,Natural,Natural,Blairo,7
CB,CB10,Color,ArtifactFC,ArtifactFC,Bewt,7
CB,CB10,Color,ArtifactFC,ArtifactNFC,Arn,6
CB,CB10,Color,ArtifactFC,ArtifactFC,Topee,3
CB,CB10,Color,ArtifactFC,ArtifactFC,Bollop,6
CB,CB10,Color,ArtifactFC,ArtifactFC,Reeka,6
CB,CB10,Color,ArtifactNFC,ArtifactNFC,Kanpa,4
CB,CB10,Color,ArtifactNFC,ArtifactNFC,Flut,3
CB,CB10,Color,ArtifactNFC,ArtifactNFC,Meepa,4
CB,CB10,Color,ArtifactNFC,ArtifactFC,Cano,4
CB,CB10,Color,ArtifactNFC,ArtifactNFC,Maxus,4
CB,CB10,Function,Natural,Natural,Koshi,3
CB,CB10,Function,Natural,Natural,Poom,5
CB,CB10,Function,Natural,Natural,Borg,3
CB,CB10,Function,Natural,Natural,Norpee,3
CB,CB10,Function,Natural,Natural,Irve,4
CB,CB10,Function,Artifact,Artifact,Xenop,5
CB,CB10,Function,Artifact,Artifact,Trint,6
CB,CB10,Function,Artifact,Artifact,Soof,6
CB,CB10,Function,Artifact,Artifact,Quag,6
CB,CB10,Function,Artifact,Artifact,Olan,5
CB,CB10,Filler,Artifact,Artifact,Gep,6
CB,CB10,Filler,Artifact,Artifact,Desh,5
CB,CB10,Filler,Artifact,Artifact,Nox,3
CB,CB10,Filler,Natural,Natural,Yobal,7
CB,CB10,Filler,Natural,Natural,Walla,7
CB,CB10,Filler,Natural,Natural,Chom,5
CB,CB10,Filler,Natural,Natural,Hyto,2
CB,CB10,Filler,Natural,Natural,Drapa,6
CB,CB10,Filler,Natural,Natural,Uzoo,4
CB,CB10,Filler,Natural,Natural,Jox,3
CB,CB11,Color,Natural,Natural,Atto,7
CB,CB11,Color,Natural,Natural,Onz,7
CB,CB11,Color,Natural,Natural,Stime,7
CB,CB11,Color,Natural,Natural,Enly,6
CB,CB11,Color,Natural,Natural,Blairo,7
CB,CB11,Color,ArtifactFC,ArtifactFC,Bewt,7
CB,CB11,Color,ArtifactFC,ArtifactNFC,Arn,7
CB,CB11,Color,ArtifactFC,ArtifactFC,Topee,7
CB,CB11,Color,ArtifactFC,ArtifactFC,Bollop,6
CB,CB11,Color,ArtifactFC,ArtifactFC,Reeka,5
CB,CB11,Color,ArtifactNFC,ArtifactNFC,Kanpa,6
CB,CB11,Color,ArtifactNFC,ArtifactNFC,Flut,5
CB,CB11,Color,ArtifactNFC,ArtifactNFC,Meepa,6
CB,CB11,Color,ArtifactNFC,ArtifactFC,Cano,1
CB,CB11,Color,ArtifactNFC,ArtifactNFC,Maxus,7
CB,CB11,Function,Natural,Natural,Koshi,1
CB,CB11,Function,Natural,Natural,Poom,1
CB,CB11,Function,Natural,Natural,Borg,1
CB,CB11,Function,Natural,Natural,Norpee,1
CB,CB11,Function,Natural,Natural,Irve,2
CB,CB11,Function,Artifact,Artifact,Xenop,5
CB,CB11,Function,Artifact,Artifact,Trint,7
CB,CB11,Function,Artifact,Artifact,Soof,4
CB,CB11,Function,Artifact,Artifact,Quag,3
CB,CB11,Function,Artifact,Artifact,Olan,7
CB,CB11,Filler,Artifact,Artifact,Gep,7
CB,CB11,Filler,Artifact,Artifact,Desh,5
CB,CB11,Filler,Artifact,Artifact,Nox,5
CB,CB11,Filler,Natural,Natural,Yobal,7
CB,CB11,Filler,Natural,Natural,Walla,7
CB,CB11,Filler,Natural,Natural,Chom,6
CB,CB11,Filler,Natural,Natural,Hyto,3
CB,CB11,Filler,Natural,Natural,Drapa,4
CB,CB11,Filler,Natural,Natural,Uzoo,5
CB,CB11,Filler,Natural,Natural,Jox,4
CB,CB12,Color,Natural,Natural,Atto,5
CB,CB12,Color,Natural,Natural,Onz,4
CB,CB12,Color,Natural,Natural,Stime,6
CB,CB12,Color,Natural,Natural,Enly,6
CB,CB12,Color,Natural,Natural,Blairo,7
CB,CB12,Color,ArtifactFC,ArtifactFC,Bewt,6
CB,CB12,Color,ArtifactFC,ArtifactNFC,Arn,7
CB,CB12,Color,ArtifactFC,ArtifactFC,Topee,3
CB,CB12,Color,ArtifactFC,ArtifactFC,Bollop,3
CB,CB12,Color,ArtifactFC,ArtifactFC,Reeka,7
CB,CB12,Color,ArtifactNFC,ArtifactNFC,Kanpa,2
CB,CB12,Color,ArtifactNFC,ArtifactNFC,Flut,3
CB,CB12,Color,ArtifactNFC,ArtifactNFC,Meepa,2
CB,CB12,Color,ArtifactNFC,ArtifactFC,Cano,2
CB,CB12,Color,ArtifactNFC,ArtifactNFC,Maxus,2
CB,CB12,Function,Natural,Natural,Koshi,4
CB,CB12,Function,Natural,Natural,Poom,6
CB,CB12,Function,Natural,Natural,Borg,2
CB,CB12,Function,Natural,Natural,Norpee,3
CB,CB12,Function,Natural,Natural,Irve,2
CB,CB12,Function,Artifact,Artifact,Xenop,4
CB,CB12,Function,Artifact,Artifact,Trint,6
CB,CB12,Function,Artifact,Artifact,Soof,5
CB,CB12,Function,Artifact,Artifact,Quag,5
CB,CB12,Function,Artifact,Artifact,Olan,5
CB,CB12,Filler,Artifact,Artifact,Gep,5
CB,CB12,Filler,Artifact,Artifact,Desh,5
CB,CB12,Filler,Artifact,Artifact,Nox,5
